period,accounts,category,amount,month,running_total
21-01-2026,UPI,Other,75,2026-01,365442.66
21-01-2026,UPI,Food,38,2026-01,365442.66
20-01-2026,UPI,Food,8,2026-01,365329.66
19-01-2026,UPI,Transport,340.7,2026-01,365321.66
19-01-2026,UPI,Food,171,2026-01,365321.66
16-01-2026,UPI,Food,90,2026-01,364809.96
15-01-2026,UPI,Food,84,2026-01,364719.96
15-01-2026,UPI,Food,19,2026-01,364719.96
14-01-2026,UPI,Food,26,2026-01,364616.96
13-01-2026,UPI,Transport,600,2026-01,364590.96
13-01-2026,UPI,Transport,416,2026-01,364590.96
12-01-2026,UPI,Food,21,2026-01,363574.96
11-01-2026,UPI,Transport,340,2026-01,363553.96
11-01-2026,UPI,Party_Weekend,44,2026-01,363553.96
09-01-2026,UPI,Apparel,370,2026-01,363169.96
09-01-2026,UPI,Gift,65,2026-01,363169.96
09-01-2026,UPI,Food,15,2026-01,363169.96
09-01-2026,UPI,Food,35,2026-01,363169.96
09-01-2026,UPI,Food,19,2026-01,363169.96
09-01-2026,UPI,Beauty,332,2026-01,363169.96
08-01-2026,UPI,Food,23,2026-01,362333.96
07-01-2026,UPI,Food,16,2026-01,362310.96
06-01-2026,UPI,Food,75,2026-01,362294.96
05-01-2026,UPI,Food,10,2026-01,362219.96
04-01-2026,UPI,Beauty,854,2026-01,362209.96
03-01-2026,UPI,Transport,520,2026-01,361355.96
03-01-2026,UPI,Recharge,588,2026-01,361355.96
03-01-2026,UPI,Food,125,2026-01,361355.96
02-01-2026,UPI,Food,17,2026-01,360122.96
02-01-2026,UPI,Rent,11505,2026-01,360122.96
01-01-2026,UPI,Gift,300,2026-01,348600.96
01-01-2026,UPI,Food,1080,2026-01,348600.96
01-01-2026,UPI,Party,230,2026-01,348600.96
31-12-2025,UPI,Food,11,2025-12,346990.96
31-12-2025,UPI,Food,50,2025-12,346990.96
30-12-2025,UPI,Food,56,2025-12,346929.96
29-12-2025,UPI,Transport,180,2025-12,346873.96
29-12-2025,UPI,Food,12,2025-12,346873.96
29-12-2025,UPI,Food,14,2025-12,346873.96
29-12-2025,UPI,Food,92,2025-12,346873.96
28-12-2025,UPI,Transport,547,2025-12,346575.96
28-12-2025,UPI,Recharge,849,2025-12,346575.96
28-12-2025,UPI,Food,130,2025-12,346575.96
27-12-2025,UPI,Food,15,2025-12,345049.96
27-12-2025,UPI,Food,50,2025-12,345049.96
27-12-2025,UPI,Other,85,2025-12,345049.96
25-12-2025,Upi,Transport,227,2025-12,344899.96
24-12-2025,Upi,Food,182,2025-12,344672.96
24-12-2025,Upi,Party,144,2025-12,344672.96
24-12-2025,Upi,Gift,250,2025-12,344672.96
24-12-2025,Upi,Food,34,2025-12,344672.96
23-12-2025,Upi,Food,101,2025-12,344062.96
23-12-2025,Upi,Gift,120,2025-12,344062.96
22-12-2025,Upi,Food,473,2025-12,343841.96
22-12-2025,Upi,Food,26,2025-12,343841.96
22-12-2025,Upi,Health,1500,2025-12,343841.96
21-12-2025,Upi,Transport,532,2025-12,341842.96
19-12-2025,Upi,Food,37,2025-12,341310.96
19-12-2025,Upi,Food,16,2025-12,341310.96
18-12-2025,Upi,Food,16,2025-12,341257.96
18-12-2025,Upi,Food,30,2025-12,341257.96
17-12-2025,Upi,Food,19,2025-12,341211.96
16-12-2025,Upi,Party,855,2025-12,341192.96
16-12-2025,Upi,Food,55,2025-12,341192.96
16-12-2025,Upi,Gift,125,2025-12,341192.96
15-12-2025,Upi,Beauty,110,2025-12,340157.96
15-12-2025,Cash,Transport,504,2025-12,340157.96
14-12-2025,Upi,Food,80,2025-12,339543.96
13-12-2025,Upi,Food,35,2025-12,339463.96
12-12-2025,Upi,Food,21,2025-12,339428.96
12-12-2025,Upi,Food,12,2025-12,339428.96
11-12-2025,Upi,Food,24,2025-12,339395.96
10-12-2025,Upi,Food,25,2025-12,339371.96
10-12-2025,Upi,Food,11,2025-12,339371.96
10-12-2025,Upi,Food,60,2025-12,339371.96
09-12-2025,UPI,Food,16,2025-12,339275.96
09-12-2025,UPI,Food,10,2025-12,339275.96
08-12-2025,Upi,Food,10,2025-12,339249.96
08-12-2025,Upi,Food,16,2025-12,339249.96
07-12-2025,Upi,Transport,160,2025-12,339223.96
07-12-2025,Upi,Food,40,2025-12,339223.96
07-12-2025,Upi,Transport,160,2025-12,339223.96
06-12-2025,Upi,Food,321,2025-12,338863.96
06-12-2025,Upi,Transport,538,2025-12,338863.96
05-12-2025,Upi,Food,26,2025-12,338004.96
04-12-2025,Upi,Gift,209,2025-12,337978.96
04-12-2025,Upi,Food,16,2025-12,337978.96
04-12-2025,Upi,Food,10,2025-12,337978.96
03-12-2025,Upi,Recharge,588,2025-12,337743.96
03-12-2025,Upi,Food,21,2025-12,337743.96
02-12-2025,Upi,Rent,171,2025-12,337134.96
02-12-2025,Upi,Food,50,2025-12,337134.96
01-12-2025,Upi,Rent,11400,2025-12,336913.96
01-12-2025,Upi,Food,8,2025-12,336913.96
01-12-2025,Upi,Food,26,2025-12,336913.96
01-12-2025,Upi,Food,355,2025-12,336913.96
01-12-2025,Upi,Food,1100,2025-12,336913.96
01-12-2025,Upi,Recharge,588,2025-12,336913.96
30-11-2025,Upi,Food,203,2025-11,323436.96
29-11-2025,Upi,Transport,421,2025-11,323233.96
29-11-2025,Upi,Food,298,2025-11,323233.96
28-11-2025,Upi,Food,10,2025-11,322514.96
28-11-2025,Upi,Food,230,2025-11,322514.96
27-11-2025,Upi,Food,10,2025-11,322274.96
27-11-2025,Upi,Food,11,2025-11,322274.96
26-11-2025,Upi,Gift,204,2025-11,322253.96
25-11-2025,Upi,Food,413,2025-11,322049.96
24-11-2025,Upi,Food,11,2025-11,321636.96
24-11-2025,Upi,Food,25,2025-11,321636.96
23-11-2025,Upi,Transport,510,2025-11,321600.96
23-11-2025,Upi,Other,110,2025-11,321600.96
22-11-2025,Upi,Food,400,2025-11,320980.96
21-11-2025,Upi,Food,23,2025-11,320580.96
19-11-2025,Upi,Recharge,471,2025-11,320557.96
19-11-2025,Upi,Food,29,2025-11,320557.96
18-11-2025,Upi,Food,400,2025-11,320057.96
18-11-2025,Upi,Gift,400,2025-11,320057.96
18-11-2025,Upi,Food,72,2025-11,320057.96
17-11-2025,Upi,Food,10,2025-11,319185.96
16-11-2025,Upi,Transport,194,2025-11,319175.96
15-11-2025,Upi,Food,147,2025-11,318981.96
15-11-2025,Upi,Social Life,162,2025-11,318981.96
14-11-2025,Upi,Transport,503,2025-11,318672.96
14-11-2025,Upi,Food,92,2025-11,318672.96
13-11-2025,Upi,Food,11,2025-11,318077.96
12-11-2025,Upi,Transport,300,2025-11,318066.96
12-11-2025,Upi,Gift,198,2025-11,318066.96
11-11-2025,Upi,Transport,450,2025-11,317568.96
10-11-2025,Cash,Food,187,2025-11,317118.96
10-11-2025,Upi,Food,23,2025-11,317118.96
09-11-2025,Upi,Transport,100,2025-11,316908.96
09-11-2025,Upi,Food,385,2025-11,316908.96
08-11-2025,Upi,Transport,397,2025-11,316423.96
08-11-2025,Upi,Food,152,2025-11,316423.96
08-11-2025,Upi,Transport,385,2025-11,316423.96
06-11-2025,Upi,Food,140,2025-11,315489.96
06-11-2025,Upi,Food,74,2025-11,315489.96
06-11-2025,Upi,Transport,200,2025-11,315489.96
05-11-2025,Upi,Food,27,2025-11,315075.96
04-11-2025,Upi,Food,31,2025-11,315048.96
03-11-2025,Upi,Food,21,2025-11,315017.96
03-11-2025,Upi,Food,1100,2025-11,315017.96
01-11-2025,Upi,Rent,6149,2025-11,313896.96
01-11-2025,Upi,Recharge,588,2025-11,313896.96
01-11-2025,Upi,Transport,1400,2025-11,313896.96
01-11-2025,Upi,Transport,478,2025-11,313896.96
30-10-2025,Upi,Food,25,2025-10,305281.96
30-10-2025,Upi,Recharge,230,2025-10,305281.96
30-10-2025,Upi,Food,37,2025-10,305281.96
29-10-2025,Upi,Food,17,2025-10,304989.96
29-10-2025,Upi,Food,160,2025-10,304989.96
28-10-2025,Upi,Food,25,2025-10,304812.96
28-10-2025,Upi,Food,318,2025-10,304812.96
27-10-2025,Upi,Food,11,2025-10,304469.96
27-10-2025,Upi,Food,10,2025-10,304469.96
26-10-2025,Upi,Food,110,2025-10,304448.96
26-10-2025,Upi,Food,535,2025-10,304448.96
25-10-2025,Upi,Transport,200,2025-10,303803.96
24-10-2025,Upi,Food,414,2025-10,303603.96
23-10-2025,Upi,Food,19,2025-10,303189.96
22-10-2025,Upi,Food,21,2025-10,303170.96
21-10-2025,Cash,Food,21,2025-10,303149.96
21-10-2025,Upi,Transport,400,2025-10,303149.96
20-10-2025,Upi,Other,800,2025-10,302728.96
18-10-2025,Upi,Food,319,2025-10,301928.96
18-10-2025,Upi,Food,132,2025-10,301928.96
17-10-2025,Upi,Transport,200,2025-10,301477.96
17-10-2025,Upi,Gift,399,2025-10,301477.96
16-10-2025,Upi,Food,49,2025-10,300878.96
15-10-2025,Upi,Household,338,2025-10,300829.96
14-10-2025,Upi,Food,130,2025-10,300491.96
13-10-2025,Upi,Food,36,2025-10,300361.96
12-10-2025,Upi,Food,223,2025-10,300325.96
11-10-2025,Upi,Transport,380,2025-10,300102.96
11-10-2025,Upi,Food,160,2025-10,300102.96
10-10-2025,Upi,Food,11,2025-10,299562.96
10-10-2025,Upi,Food,10,2025-10,299562.96
09-10-2025,Upi,Food,110,2025-10,299541.96
07-10-2025,Upi,Food,36,2025-10,299431.96
06-10-2025,Upi,Food,140,2025-10,299395.96
06-10-2025,Upi,Food,10,2025-10,299395.96
05-10-2025,Upi,Recharge,859,2025-10,299245.96
03-10-2025,Upi,Food,25,2025-10,298386.96
01-10-2025,Upi,Recharge,340,2025-10,298361.96
01-10-2025,Upi,Food,1080,2025-10,298361.96
01-10-2025,Upi,Food,247,2025-10,298361.96
01-10-2025,Upi,Recharge,294,2025-10,298361.96
01-10-2025,Upi,Rent,6060,2025-10,298361.96
01-10-2025,Upi,Transport,300,2025-10,298361.96
01-10-2025,Upi,Food,300,2025-10,298361.96
30-09-2025,Upi,Household,671,2025-09,289740.96
30-09-2025,Upi,Transport,470,2025-09,289740.96
30-09-2025,Upi,Food,520,2025-09,289740.96
29-09-2025,Upi,Food,811,2025-09,288079.96
25-09-2025,Upi,Food,46,2025-09,287268.96
24-09-2025,Upi,Food,41,2025-09,287222.96
22-09-2025,Upi,Food,21,2025-09,287181.96
19-09-2025,Upi,Recharge,471,2025-09,287160.96
18-09-2025,Upi,Food,22,2025-09,286689.96
17-09-2025,Upi,Household,417,2025-09,286667.96
15-09-2025,Upi,Apparel,225,2025-09,286250.96
15-09-2025,Upi,Food,433,2025-09,286250.96
13-09-2025,Upi,Transport,400,2025-09,285592.96
11-09-2025,Upi,Food,60,2025-09,285192.96
09-09-2025,Upi,Food,36,2025-09,285132.96
08-09-2025,Upi,Transport,175,2025-09,285096.96
08-09-2025,Upi,Food,25,2025-09,285096.96
07-09-2025,Upi,Food,80,2025-09,284896.96
06-09-2025,Upi,Household,130,2025-09,284816.96
06-09-2025,Upi,Gift,1052,2025-09,284816.96
05-09-2025,Upi,Food,15,2025-09,283634.96
04-09-2025,Upi,Transport,300,2025-09,283619.96
04-09-2025,Upi,Food,175,2025-09,283619.96
03-09-2025,Upi,Food,100,2025-09,283144.96
03-09-2025,Upi,Food,25,2025-09,283144.96
03-09-2025,Upi,Recharge,588,2025-09,283144.96
02-09-2025,Upi,Food,30,2025-09,282431.96
01-09-2025,Upi,Transport,95,2025-09,282401.96
01-09-2025,Upi,Food,1080,2025-09,282401.96
01-09-2025,Upi,Food,35,2025-09,282401.96
01-09-2025,Upi,Rent,10517,2025-09,282401.96
29-08-2025,Upi,Transport,2790,2025-08,270674.96
27-08-2025,Upi,Gift,427,2025-08,267884.96
27-08-2025,Upi,Food,166,2025-08,267884.96
23-08-2025,Upi,Transport,400,2025-08,267291.96
23-08-2025,Upi,Transport,4200,2025-08,267291.96
22-08-2025,Upi,Transport,2100,2025-08,262691.96
21-08-2025,Upi,Apparel,833,2025-08,260591.96000000002
20-08-2025,Upi,Food,96,2025-08,259758.96000000002
19-08-2025,Upi,Recharge,471,2025-08,259662.96000000002
19-08-2025,Upi,Food,90,2025-08,259662.96000000002
18-08-2025,Upi,Food,181,2025-08,259101.96000000002
15-08-2025,Upi,Apparel,704,2025-08,258920.96000000002
12-08-2025,Upi,Apparel,356,2025-08,258216.96000000002
12-08-2025,Upi,Food,25,2025-08,258216.96000000002
10-08-2025,Upi,Apparel,499,2025-08,257835.96000000002
10-08-2025,Upi,Transport,400,2025-08,257835.96000000002
10-08-2025,Upi,Food,750,2025-08,257835.96000000002
08-08-2025,Upi,Food,35,2025-08,256186.96000000002
07-08-2025,Upi,Transport,314,2025-08,256151.96000000002
06-08-2025,Upi,Food,10,2025-08,255837.96000000002
05-08-2025,Upi,Gift,211,2025-08,255827.96000000002
04-08-2025,Upi,Food,214,2025-08,255616.96000000002
03-08-2025,Upi,Recharge,588,2025-08,255402.96000000002
03-08-2025,Upi,Food,210,2025-08,255402.96000000002
02-08-2025,Upi,Rent,649,2025-08,254604.96000000002
