period,accounts,category,amount,month,_row,running_total
2026-01-21 00:00:00,UPI,Other,75.0,,,
2026-01-21 00:00:00,UPI,Food,38.0,,,
2026-01-20 00:00:00,UPI,Food,8.0,,,
2026-01-19 00:00:00,UPI,Transport,340.7,,,
2026-01-19 00:00:00,UPI,Food,171.0,,,
2026-01-16 00:00:00,UPI,Food,90.0,,,
2026-01-15 00:00:00,UPI,Food,84.0,,,
2026-01-15 00:00:00,UPI,Food,19.0,,,
2026-01-14 00:00:00,UPI,Food,26.0,,,
2026-01-13 00:00:00,UPI,Transport,600.0,,,
2026-01-13 00:00:00,UPI,Transport,416.0,,,
2026-01-12 00:00:00,UPI,Food,21.0,,,
2026-01-11 00:00:00,UPI,Transport,340.0,,,
2026-01-11 00:00:00,UPI,Party_Weekend,44.0,,,
2026-01-09 00:00:00,UPI,Apparel,370.0,,,
2026-01-09 00:00:00,UPI,Gift,65.0,,,
2026-01-09 00:00:00,UPI,Food,15.0,,,
2026-01-09 00:00:00,UPI,Food,35.0,,,
2026-01-09 00:00:00,UPI,Food,19.0,,,
2026-01-09 00:00:00,UPI,Beauty,332.0,,,
2026-01-08 00:00:00,UPI,Food,23.0,,,
2026-01-07 00:00:00,UPI,Food,16.0,,,
2026-01-06 00:00:00,UPI,Food,75.0,,,
2026-01-05 00:00:00,UPI,Food,10.0,,,
2026-01-04 00:00:00,UPI,Beauty,854.0,,,
2026-01-03 00:00:00,UPI,Transport,520.0,,,
2026-01-03 00:00:00,UPI,Recharge,588.0,,,
2026-01-03 00:00:00,UPI,Food,125.0,,,
2026-01-02 00:00:00,UPI,Food,17.0,,,
2026-01-02 00:00:00,UPI,Rent,11505.0,,,
2026-01-01 00:00:00,UPI,Gift,300.0,,,
2026-01-01 00:00:00,UPI,Food,1080.0,,,
2026-01-01 00:00:00,UPI,Party,230.0,,,
2025-12-31 00:00:00,UPI,Food,11.0,,,
2025-12-31 00:00:00,UPI,Food,50.0,,,
2025-12-30 00:00:00,UPI,Food,56.0,,,
2025-12-29 00:00:00,UPI,Transport,180.0,,,
2025-12-29 00:00:00,UPI,Food,12.0,,,
2025-12-29 00:00:00,UPI,Food,14.0,,,
2025-12-29 00:00:00,UPI,Food,92.0,,,
2025-12-28 00:00:00,UPI,Transport,547.0,,,
2025-12-28 00:00:00,UPI,Recharge,849.0,,,
2025-12-28 00:00:00,UPI,Food,130.0,,,
2025-12-27 00:00:00,UPI,Food,15.0,,,
2025-12-27 00:00:00,UPI,Food,50.0,,,
2025-12-27 00:00:00,UPI,Other,85.0,,,
2025-12-25 00:00:00,Upi,Transport,227.0,2025-12,0.06581618623556813,344899.96
2025-12-24 00:00:00,Upi,Food,182.0,2025-12,0.05286042269285167,344302.96
2025-12-24 00:00:00,Upi,Party,144.0,2025-12,0.04184575098244524,344120.96
2025-12-24 00:00:00,Upi,Gift,250.0,2025-12,0.07255778618183979,344552.96
2025-12-24 00:00:00,Upi,Food,34.0,2025-12,0.009884382954021106,343976.96
2025-12-23 00:00:00,Upi,Food,101.0,2025-12,0.0293653342984546,343942.96
2025-12-23 00:00:00,Upi,Gift,120.0,2025-12,0.03481561187741562,344672.96
2025-12-22 00:00:00,Upi,Food,473.0,2025-12,0.1375631990929786,343841.96
2025-12-22 00:00:00,Upi,Food,26.0,2025-12,0.007617106568242712,341336.96
2025-12-22 00:00:00,Upi,Health,1500.0,2025-12,0.4368478734944474,343368.96
2025-12-21 00:00:00,Upi,Transport,532.0,2025-12,0.1556151807405972,341868.96
2025-12-19 00:00:00,Upi,Food,37.0,2025-12,0.01084106252257578,341294.96
2025-12-19 00:00:00,Upi,Food,16.0,2025-12,0.004687807271117224,341310.96
2025-12-18 00:00:00,Upi,Food,16.0,2025-12,0.004688947529387685,341227.96
2025-12-18 00:00:00,Upi,Food,30.0,2025-12,0.00879100373219133,341257.96
2025-12-17 00:00:00,Upi,Food,19.0,2025-12,0.005568386289859241,341211.96
2025-12-16 00:00:00,Upi,Party,855.0,2025-12,0.2507236088622555,341012.96
2025-12-16 00:00:00,Upi,Food,55.0,2025-12,0.01612581844392537,341067.96
2025-12-16 00:00:00,Upi,Gift,125.0,2025-12,0.03663616037095255,341192.96
2025-12-15 00:00:00,Upi,Beauty,110.0,2025-12,0.03238590240490645,339653.96
2025-12-15 00:00:00,Cash,Transport,504.0,2025-12,0.148166457724523,340157.96
2025-12-14 00:00:00,Upi,Food,80.0,2025-12,0.02356101401420894,339543.96
2025-12-13 00:00:00,Upi,Food,35.0,2025-12,0.01031037285961078,339463.96
2025-12-12 00:00:00,Upi,Food,21.0,2025-12,0.006187080339179279,339416.96
2025-12-12 00:00:00,Upi,Food,12.0,2025-12,0.003535349488152101,339428.96
2025-12-11 00:00:00,Upi,Food,24.0,2025-12,0.007071386471424114,339395.96
